Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
536;32.0;-2.90;1;4;100;5;3;0;3
537;101.2;31.94;1;8;180;18;14;6;6
538;30.9;0.08;1;4;100;7;4;3;1
539;27.6;-3.20;1;4;100;6;3;0;1
540;59.7;6.91;1;5;125;8;6;2;3
541;65.7;13.12;1;6;130;11;8;4;3
542;39.2;6.50;1;4;100;7;6;0;3
543;54.7;19.13;1;5;125;13;10;3;4
544;63.0;18.67;1;8;180;11;10;5;3
545;40.4;0.36;1;4;100;5;4;3;2
546;17.1;-6.50;1;4;100;3;2;1;0
547;40.5;3.20;1;4;100;6;5;3;0
548;22.2;-9.36;1;4;100;3;1;0;0
549;54.2;8.94;1;7;160;9;7;5;1
550;46.0;0.52;1;4;100;4;4;4;2
551;39.3;2.63;1;8;160;7;5;2;3
552;41.8;-2.87;1;5;125;6;3;2;1
553;45.9;-2.42;1;4;100;4;3;3;5
554;66.3;22.02;1;6;130;14;11;2;4
555;43.1;6.02;1;6;130;7;6;1;2
